House Type,Num People,Electricity Usage,Gas Usage,Energy Saving
Medium 2-3 bedroom,2,2311.34,10475.46,Yes
Medium 2-3 bedroom,2,2995.55,9753.87,No
Flat/1-bedroom,1,1025.48,7928.73,No
Flat/1-bedroom,1,1282.85,6180.2,Yes
Medium 2-3 bedroom,3,1786.83,11907.93,Yes
4+ bedroom,4,2362.34,17313.87,Yes
Medium 2-3 bedroom,2,2479.99,12710.55,Yes
4+ bedroom,4,4304.42,16337.15,No
Medium 2-3 bedroom,3,2415.62,14224.93,No
Medium 2-3 bedroom,3,2096.99,11532.9,Yes
Medium 2-3 bedroom,2,2788.72,11754.96,No
Flat/1-bedroom,1,1513.07,5797.54,Yes
Flat/1-bedroom,1,2355.31,8793.87,No
Flat/1-bedroom,1,1587.2,6707.6,No
Medium 2-3 bedroom,3,3047.51,11479.04,Yes
4+ bedroom,4,4026.78,17254.7,No
Flat/1-bedroom,1,1618.31,8366.39,No
Medium 2-3 bedroom,2,3191.82,10936.38,No
Flat/1-bedroom,1,1651.89,6222.42,Yes
Medium 2-3 bedroom,3,2516.61,9676.96,No
Flat/1-bedroom,1,2011.15,7638.8,No
4+ bedroom,4,5113.43,16948.04,Yes
Medium 2-3 bedroom,2,2211.47,9835.39,No
4+ bedroom,5,4226.25,14956.56,Yes
4+ bedroom,6,4041.7,16028.22,No
Medium 2-3 bedroom,2,2422.39,9545.88,Yes
Medium 2-3 bedroom,2,2864.31,10627.98,Yes
4+ bedroom,4,5496.19,18790.48,No
Medium 2-3 bedroom,2,2108.53,11661.87,No
Medium 2-3 bedroom,3,2851.48,12279.6,No
Flat/1-bedroom,1,1678.44,7382.9,Yes
4+ bedroom,4,3347.01,18082.0,Yes
4+ bedroom,4,4117.67,15632.03,No
Medium 2-3 bedroom,3,2244.89,12762.3,No
Medium 2-3 bedroom,2,3211.91,9218.36,Yes
Medium 2-3 bedroom,2,3083.06,12714.6,No
4+ bedroom,4,3045.78,14817.75,No
Flat/1-bedroom,1,1691.86,8010.79,No
Flat/1-bedroom,1,1580.34,6833.49,No
Flat/1-bedroom,1,1098.28,6513.69,No
Medium 2-3 bedroom,2,2428.48,8356.67,No
Medium 2-3 bedroom,2,2098.95,15303.43,No
Medium 2-3 bedroom,2,3316.22,13810.87,No
Medium 2-3 bedroom,3,3315.16,11008.51,No
4+ bedroom,4,3976.47,16591.93,No
4+ bedroom,4,5928.27,18209.37,No
Medium 2-3 bedroom,3,3147.72,14669.62,No
Medium 2-3 bedroom,2,2472.69,9345.62,No
