House Type,Num People,Electricity Usage,Gas Usage,Energy Saving
Medium 2-3 bedroom,2,3682.52,12130.5,No
Medium 2-3 bedroom,3,3054.74,16151.96,No
Medium 2-3 bedroom,3,3524.14,19599.63,No
Medium 2-3 bedroom,2,3287.69,11862.72,No
Medium 2-3 bedroom,2,3984.7,19919.97,No
Medium 2-3 bedroom,2,3412.73,18329.22,No
4+ bedroom,5,6423.41,23103.23,No
Flat/1-bedroom,1,2884.55,9158.59,No
Medium 2-3 bedroom,2,3122.31,15096.18,Yes
4+ bedroom,6,5674.05,23509.2,No
Medium 2-3 bedroom,3,3452.25,16551.1,No
Medium 2-3 bedroom,2,4514.62,16103.33,No
Medium 2-3 bedroom,2,3611.57,12780.66,No
4+ bedroom,4,3831.92,26489.11,Yes
Flat/1-bedroom,1,2598.35,7951.77,No
4+ bedroom,5,5102.52,24687.19,No
Medium 2-3 bedroom,2,4260.44,16426.53,No
Medium 2-3 bedroom,3,4192.83,13867.54,No
4+ bedroom,4,6375.6,27130.94,No
Flat/1-bedroom,1,3082.45,12095.8,No
Medium 2-3 bedroom,2,3496.8,16891.15,No
Medium 2-3 bedroom,2,3868.65,19250.86,No
Medium 2-3 bedroom,2,3994.34,12246.38,No
Medium 2-3 bedroom,2,3528.09,13387.94,No
4+ bedroom,5,5520.38,24523.35,Yes
Medium 2-3 bedroom,2,3400.62,14476.14,No
Medium 2-3 bedroom,2,3488.07,19344.88,No
Medium 2-3 bedroom,3,2997.04,16496.58,No
4+ bedroom,4,5660.72,23692.21,Yes
Flat/1-bedroom,1,2739.91,10875.0,Yes
Medium 2-3 bedroom,2,2167.31,18172.65,Yes
Medium 2-3 bedroom,3,3816.7,13824.7,Yes
Medium 2-3 bedroom,2,2686.63,20286.72,No
Medium 2-3 bedroom,2,3560.62,15421.74,No
Medium 2-3 bedroom,2,3148.44,13034.65,No
4+ bedroom,4,6292.79,21910.79,Yes
Medium 2-3 bedroom,3,3814.51,14346.17,No
Medium 2-3 bedroom,2,2733.33,12548.46,Yes
Medium 2-3 bedroom,3,3886.99,15142.23,Yes
Medium 2-3 bedroom,2,3110.01,15034.4,Yes
Medium 2-3 bedroom,2,3751.05,11773.16,No
Flat/1-bedroom,1,2183.81,12383.94,No
Medium 2-3 bedroom,3,3666.76,15909.26,No
Flat/1-bedroom,1,2115.17,10126.91,No
Medium 2-3 bedroom,3,3897.14,11344.62,No
Flat/1-bedroom,1,2848.15,10843.65,No
Medium 2-3 bedroom,2,3880.17,17259.07,No
Medium 2-3 bedroom,2,3361.13,20044.87,No
Medium 2-3 bedroom,2,3010.29,17169.31,No
Flat/1-bedroom,1,2513.46,11312.19,No
Medium 2-3 bedroom,2,3204.6,13420.76,No
4+ bedroom,4,4851.98,21547.81,Yes
4+ bedroom,4,6119.84,22886.16,No
Medium 2-3 bedroom,2,3602.06,18970.55,No
Medium 2-3 bedroom,2,4178.88,13254.62,No
Medium 2-3 bedroom,2,2838.18,11101.05,Yes
Medium 2-3 bedroom,2,2662.48,14011.53,Yes
4+ bedroom,4,5514.12,17111.48,Yes
4+ bedroom,4,4545.46,21633.41,No
Flat/1-bedroom,1,2231.26,11055.77,No
Medium 2-3 bedroom,2,4519.59,18527.56,No
Medium 2-3 bedroom,3,3744.91,16179.03,No
Medium 2-3 bedroom,2,2235.0,14428.74,Yes
Medium 2-3 bedroom,2,3434.04,17259.86,No
Medium 2-3 bedroom,2,4137.06,15073.16,No
Flat/1-bedroom,1,2081.98,9278.59,Yes
Medium 2-3 bedroom,3,3345.32,17999.77,No
Medium 2-3 bedroom,3,3254.43,11401.05,Yes
4+ bedroom,4,5692.57,18927.47,Yes
Medium 2-3 bedroom,3,3146.95,14532.66,No
Medium 2-3 bedroom,2,3568.89,18003.07,No
4+ bedroom,4,6141.15,17214.08,No
Medium 2-3 bedroom,3,3640.68,16056.52,No
Flat/1-bedroom,1,2647.27,10732.31,No
Medium 2-3 bedroom,3,4513.64,17932.6,No
4+ bedroom,4,6542.75,19078.23,Yes
Flat/1-bedroom,1,2505.58,9225.19,No
Medium 2-3 bedroom,3,3388.85,15943.96,Yes
Flat/1-bedroom,1,2145.29,6101.33,Yes
Flat/1-bedroom,1,2645.74,8532.6,No
Medium 2-3 bedroom,2,2480.5,15512.48,Yes
4+ bedroom,5,4970.02,21489.48,No
Flat/1-bedroom,1,2441.41,10243.04,No
4+ bedroom,4,5473.83,26538.51,No
Medium 2-3 bedroom,2,3287.18,17465.65,No
Flat/1-bedroom,1,2483.22,9774.05,No
4+ bedroom,6,4145.57,32798.99,No
Medium 2-3 bedroom,2,3169.15,18029.09,No
4+ bedroom,4,7670.56,27219.36,No
Medium 2-3 bedroom,2,3320.43,14439.72,Yes
4+ bedroom,4,6602.35,32472.07,No
Flat/1-bedroom,1,2010.97,7803.62,Yes
Medium 2-3 bedroom,2,4483.66,16612.54,No
Medium 2-3 bedroom,2,3247.07,15881.42,Yes
Medium 2-3 bedroom,3,3890.73,15446.71,No
4+ bedroom,5,5716.6,26523.26,No
4+ bedroom,4,4903.03,27137.6,No
Flat/1-bedroom,1,1702.51,10111.74,No
Flat/1-bedroom,1,2474.72,7239.1,No
4+ bedroom,5,5995.12,19426.38,No
4+ bedroom,5,6688.31,24982.51,No
Medium 2-3 bedroom,3,3414.03,14686.51,No
Flat/1-bedroom,1,2072.03,13171.77,No
Flat/1-bedroom,1,2412.56,7572.63,Yes
4+ bedroom,5,5240.9,17730.26,No
Flat/1-bedroom,1,2542.07,11869.58,No
Flat/1-bedroom,1,2511.57,10459.98,No
Medium 2-3 bedroom,2,3852.77,17743.9,No
4+ bedroom,4,6185.92,23838.84,No
Medium 2-3 bedroom,2,3016.8,12160.44,No
Medium 2-3 bedroom,2,3136.76,18353.92,No
Medium 2-3 bedroom,2,3343.95,17898.81,No
4+ bedroom,4,5345.12,23778.84,No
Medium 2-3 bedroom,3,3095.31,14334.49,Yes
4+ bedroom,5,6367.99,22369.03,No
Medium 2-3 bedroom,2,2489.86,16749.88,No
Medium 2-3 bedroom,3,3974.35,13614.31,No
Medium 2-3 bedroom,2,3635.97,14866.45,No
Medium 2-3 bedroom,3,4462.43,14161.35,No
4+ bedroom,6,6278.16,29495.01,No
Medium 2-3 bedroom,2,2666.02,15536.96,Yes
Medium 2-3 bedroom,3,4535.49,14733.44,No
Flat/1-bedroom,1,2453.33,11262.11,Yes
Medium 2-3 bedroom,3,4475.75,18635.72,No
Medium 2-3 bedroom,3,4015.69,12627.45,No
4+ bedroom,4,6036.63,19937.11,No
Medium 2-3 bedroom,3,3914.33,15221.91,No
Flat/1-bedroom,1,1945.34,9321.45,Yes
4+ bedroom,4,4358.57,24979.07,Yes
4+ bedroom,4,6213.52,25942.58,No
4+ bedroom,4,5419.61,28231.11,No
Flat/1-bedroom,1,2332.46,9471.33,Yes
Flat/1-bedroom,1,2032.91,12560.47,No
Flat/1-bedroom,1,1997.69,10397.47,No
4+ bedroom,4,4811.9,15954.18,No
4+ bedroom,4,5354.42,27893.47,No
Flat/1-bedroom,1,3084.07,8155.41,Yes
