House Type,Num People,Electricity Usage,Gas Usage,Energy Saving
4+ bedroom,4,5639.43,24429.12,No
4+ bedroom,4,5039.48,23256.01,No
Flat/1-bedroom,1,2723.29,8546.87,No
Medium 2-3 bedroom,2,3399.71,16834.92,No
Medium 2-3 bedroom,2,4334.38,20413.99,No
Medium 2-3 bedroom,3,3334.96,17148.08,Yes
4+ bedroom,5,4897.01,26409.74,Yes
Medium 2-3 bedroom,3,4132.81,15806.08,No
Flat/1-bedroom,1,3130.34,10305.22,No
4+ bedroom,4,7012.11,17575.53,No
Medium 2-3 bedroom,3,4473.28,15343.51,No
Flat/1-bedroom,1,2643.26,11834.26,No
Medium 2-3 bedroom,2,3855.18,10804.87,Yes
Medium 2-3 bedroom,3,3536.62,10215.58,Yes
Medium 2-3 bedroom,3,3640.69,16129.18,Yes
Medium 2-3 bedroom,2,3697.24,14184.5,No
Flat/1-bedroom,1,2636.56,10485.0,No
Medium 2-3 bedroom,2,3450.74,17416.84,No
Medium 2-3 bedroom,2,3566.92,15439.38,No
4+ bedroom,4,4750.01,24280.91,No
Medium 2-3 bedroom,2,3654.87,18917.9,No
Medium 2-3 bedroom,2,3591.91,16129.18,No
Medium 2-3 bedroom,3,3145.75,16940.97,No
Medium 2-3 bedroom,2,4024.72,13840.09,Yes
4+ bedroom,4,5849.53,20266.4,No
Medium 2-3 bedroom,3,2566.46,18964.4,No
Flat/1-bedroom,1,2356.92,7959.12,Yes
4+ bedroom,4,5197.68,19220.11,Yes
Medium 2-3 bedroom,2,4274.74,18515.47,No
Flat/1-bedroom,1,2059.32,8606.69,No
Flat/1-bedroom,1,2209.85,15814.26,No
Medium 2-3 bedroom,2,2950.88,10043.39,No
Medium 2-3 bedroom,3,3236.04,13181.77,Yes
Flat/1-bedroom,1,2295.91,10782.1,No
Medium 2-3 bedroom,3,4291.74,13853.77,No
Flat/1-bedroom,1,3505.85,9839.3,No
Flat/1-bedroom,1,2508.63,13337.52,No
4+ bedroom,5,6090.62,21491.08,No
Medium 2-3 bedroom,2,4097.19,13533.88,Yes
Medium 2-3 bedroom,2,3535.41,18985.01,No
4+ bedroom,4,5681.62,18480.33,Yes
Medium 2-3 bedroom,2,4109.75,15735.98,No
Medium 2-3 bedroom,2,3503.79,17807.03,No
4+ bedroom,4,5284.51,24316.26,No
Medium 2-3 bedroom,3,3273.87,19584.67,No
4+ bedroom,4,4733.64,18103.52,No
Medium 2-3 bedroom,2,4005.48,21561.67,No
Medium 2-3 bedroom,3,3804.71,14723.74,Yes
Medium 2-3 bedroom,3,3779.86,17266.18,No
4+ bedroom,4,4479.42,23931.83,No
Medium 2-3 bedroom,3,4127.07,14885.5,No
4+ bedroom,4,5057.9,27149.98,No
Medium 2-3 bedroom,2,3249.53,21282.68,No
Medium 2-3 bedroom,3,3066.03,18808.07,No
Medium 2-3 bedroom,2,3421.43,16391.85,No
Medium 2-3 bedroom,3,3308.9,21087.44,No
4+ bedroom,5,7522.89,23973.72,No
Medium 2-3 bedroom,2,3461.36,15705.79,No
Medium 2-3 bedroom,3,3593.9,14352.84,No
Medium 2-3 bedroom,2,2521.79,15076.29,Yes
Medium 2-3 bedroom,2,2947.32,10827.27,Yes
Flat/1-bedroom,1,2014.89,9909.15,No
Medium 2-3 bedroom,2,3758.16,18810.92,No
Flat/1-bedroom,1,2117.0,10899.17,No
4+ bedroom,4,5631.06,24617.82,Yes
Medium 2-3 bedroom,3,2996.8,15659.68,No
4+ bedroom,5,5587.98,27701.34,No
Medium 2-3 bedroom,2,3566.25,16293.15,Yes
Flat/1-bedroom,1,2917.44,10647.14,No
Medium 2-3 bedroom,2,3100.88,9974.26,Yes
Flat/1-bedroom,1,2854.09,11536.29,No
Medium 2-3 bedroom,2,3284.19,12993.59,No
4+ bedroom,6,5169.96,18913.96,Yes
Flat/1-bedroom,1,2027.21,10182.0,Yes
Medium 2-3 bedroom,2,3026.75,14124.82,Yes
Medium 2-3 bedroom,3,3252.47,17956.44,No
Medium 2-3 bedroom,3,3264.38,15675.95,Yes
Medium 2-3 bedroom,3,3820.96,16383.28,No
4+ bedroom,4,4933.21,21830.33,No
Medium 2-3 bedroom,3,2891.47,20234.94,No
Medium 2-3 bedroom,2,3798.66,14891.27,No
Medium 2-3 bedroom,3,3903.14,17204.13,No
Medium 2-3 bedroom,3,2384.45,16616.0,Yes
4+ bedroom,6,3357.19,19626.98,No
Medium 2-3 bedroom,2,3723.45,15908.81,No
4+ bedroom,5,5104.81,21234.25,Yes
Medium 2-3 bedroom,3,3824.15,13227.58,No
Medium 2-3 bedroom,2,3221.58,18427.87,No
Medium 2-3 bedroom,2,3017.45,17869.84,No
Medium 2-3 bedroom,2,3485.78,15370.13,No
4+ bedroom,5,6645.12,23290.1,No
4+ bedroom,5,4770.09,20289.5,Yes
Medium 2-3 bedroom,3,3817.33,15368.25,Yes
Medium 2-3 bedroom,2,2984.44,10992.1,Yes
Medium 2-3 bedroom,2,3893.36,16270.42,No
Flat/1-bedroom,1,1634.19,10879.81,No
Flat/1-bedroom,1,2828.89,12689.28,No
Flat/1-bedroom,1,2388.01,7911.67,Yes
Medium 2-3 bedroom,2,3530.14,13705.82,Yes
Flat/1-bedroom,1,3063.35,7126.36,Yes
